No,Student ID,First name,Last name,Gender,Day of birth,Social ID
1,22120001,Duy An,Bui,Male,01-01-04,374728
2,22120002,Quang An,Do,Male,02-01-04,205885
3,22120003,Nguyen Thien An,Le,Female,03-01-04,611382
4,22120004,Thinh An,Le,Male,04-01-04,508038
5,22120006,Phan Truong An,Nguyen,Male,05-01-04,516906
6,22120007,Truong An,Nguyen,Male,06-01-04,517764
7,22120008,Thien An,Pham ,Female,07-01-04,603478
8,22120009,Vinh An,Truong,Male,08-01-04,396893
9,22120010,Tuan Anh,Hoang,Male,09-01-04,110928
10,22120011,Tuan Anh,Le,Male,10-01-04,304581
11,22120013,Duc Anh,Nguyen,Male,11-01-04,342808
12,22120014,Hoang Anh,Nguyen ,Male,12-01-04,795094
13,22120015,Tan Duy Anh,Nguyen,Male,13-01-04,571448
14,22120016,Hung Anh,Tran,Male,14-01-04,450712
15,22120017,Tien Anh,Truong,Male,15-01-04,925406
16,22120018,Duy Bac,Vu,Male,16-01-04,257813
17,22120019,Huu Bang,Ban,Male,17-01-04,660978
18,22120020,Gia Bao,Cao,Male,18-01-04,441456
19,22120021,Thai Bao,Huynh,Male,19-01-04,451303
20,22120022,Bao,Le,Male,20-01-04,820828
21,22120023,Nguyen Gia Bao,Le,Male,21-01-04,256167
22,22120024,Hoang Bao,Nguyen,Male,22-01-04,372571
23,22120026,Minh Gia Bao,Phan,Male,23-01-04,834105
24,22120027,Bao,Thai,Male,24-01-04,166723
25,22120028,Duong Bao,Truong,Male,25-01-04,689203
26,22120029,Huu Ben,Nguyen,Male,26-01-04,908766
27,22120030,Viet Binh,Bui,Male,27-01-04,142761
28,22120031,Huu Binh,Nguyen,Male,28-01-04,928800
29,22120032,Thanh Binh,Tran,Male,29-01-04,641265
30,22120033,Cong Chau,Phan,Male,30-01-04,742919
31,22120034,Thi Kim Chi,Luong,Female,31-01-04,916188
32,22120035,Thien Chi,Duong,Male,01-02-04,677946
33,22120036,Minh Chien,Dao,Male,02-02-04,436305
34,22120037,Van Chien,Nguyen,Male,03-02-04,927157
35,22120040,Viet Cong,Truong,Male,04-02-04,601596
36,22120041,Quoc Cuom,Do ,Male,05-02-04,819394
37,22120042,Ngoc Cuong,Do,Male,06-02-04,203412
38,22120043,Minh Cuong,Doan,Male,07-02-04,525762
39,22120046,Ngoc Dang,Nguyen,Male,08-02-04,620157
40,22120047,Xuan Dang,Tran,Male,09-02-04,982207
41,22120048,Chi Danh,Nguyen,Male,10-02-04,690869
42,22120050,Manh Dao,Ho,Male,11-02-04,505857
43,22120051,Long Dao,Phan,Male,12-02-04,839073
44,22120052,Ngoc Quoc Dat,Dang,Male,13-02-04,133716
45,22120053,Thanh Dat,Le,Male,14-02-04,405892
46,22120054,Van Thanh Dat,Le ,Male,15-02-04,483505
47,22120056,Thanh Dat,Nguy ,Male,16-02-04,800946
48,22120057,Tan Dat,Nguyen,Male,17-02-04,842037
49,22120058,Thanh Dat,Nguyen,Male,18-02-04,633298
50,22120059,Minh Dat,Tran,Male,19-02-04,568663
51,22120061,The Tuan Dat,Vu,Male,20-02-04,672888
52,22120062,Dang Dien,Nguyen,Male,21-02-04,675981
53,22120063,Phuong Dong,Ngo,Male,22-02-04,704007
54,22120064,Tan Dong,Nguyen ,Male,23-02-04,484439
55,22120065,Dai Dong,Tran,Male,24-02-04,597891
56,22120066,Anh Duc,Bui,Male,25-02-04,257933
57,22120067,Hong Anh Duc,Lam,Male,26-02-04,232165
58,22120069,Duy Duc,Nguyen ,Male,27-02-04,913039
59,22120070,Thanh Duc,Nguyen,Male,28-02-04,212623
60,22120071,Ba Duc,Phan,Male,29-02-04,254334
61,22120072,Anh Dung,Nguyen ,Male,01-03-04,905434
62,22120073,Ngoc Duong,Ly,Male,02-03-04,667748
63,22120074,Nhat Duy,Do,Male,03-03-04,211022
64,22120075,Anh Duy,Ho,Male,04-03-04,737004
65,22120076,Khanh Duy,Ho,Male,05-03-04,425813
66,22120078,Ba Duy,Nguyen,Male,06-03-04,742609
67,22120080,Minh Duy,Nguyen,Male,07-03-04,425293
68,22120081,Thanh Duy,Pham,Male,08-03-04,793214
69,22120083,Tran Gia,Nguyen ,Male,09-03-04,196182
70,22120084,Hoang Giang,Pham,Male,10-03-04,529342
71,22120086,Cong Giap,Nguyen,Male,11-03-04,525095
72,22120088,Ho Phuong Ha,Van ,Female,12-03-04,575428
73,22120089,Xuan Hai,Do,Male,13-03-04,565653
