No,Student ID,First name,Last name,Gender,Day of birth,Social ID
1,22120001,Duy An,Bui,Male,01-01-04,374728
2,22120003,Nguyen Thien An,Le,Female,03-01-04,611382
3,22120004,Thinh An,Le,Male,04-01-04,508038
4,22120006,Phan Truong An,Nguyen,Male,05-01-04,516906
5,22120007,Truong An,Nguyen,Male,06-01-04,517764
6,22120008,Thien An,Pham ,Female,07-01-04,603478
7,22120009,Vinh An,Truong,Male,08-01-04,396893
8,22120010,Tuan Anh,Hoang,Male,09-01-04,110928
9,22120011,Tuan Anh,Le,Male,10-01-04,304581
10,22120013,Duc Anh,Nguyen,Male,11-01-04,342808
11,22120014,Hoang Anh,Nguyen ,Male,12-01-04,795094
