No,Staff ID,First Name,Last Name,Facultry,Social ID,Password
1,D460101,Thi Nhu Y,Tran,Toan,12345678,gv12345678
2,D520207,Tran Bao Thuong,Cao,Dien tu-vien thong,12345678,gv12345678
3,D420101,Thi Hong Hanh,Le,Sinh Hoc Cong Nghe Sinh Hoc,12345678,gv12345678
4,D420201,Thi Tu Anh,Nguyen,Dia Chat Hoc,12345678,gv12345678
5,D439821,Thanh Nhan,Huynh,Vat ly  hoc Ky thuat hat nhan,12345678,gv12345678
6,D440201,Loan,Thu,Khoa hoc moi Truong ,12345678,gv12345678
7,D440102,Thao Nguyen,Nguyen,CNKTMT,12345678,gv12345678
8,D520402,Long Trong,Nguyen,Khoa Hoc Vat Lieu,12345678,gv12345678
9,D440301,Nam Thuc Doan,Vo,Cong Nghe Thong Tin,12345678,gv12345678
10,D510406,Thi Tinh,Nguyen,Hoa hoc,12345678,gv12345678
11,D430122,Van Hao,Lam,Hai duong hoc,12345678,gv12345678
12,D480201,Truong Hai,Nguyen,Cong nghe ky thuat hoa hoc,12345678,gv12345678
