No,Student ID,First name,Last name,Gender,Day of birth,Social ID,Password
1,22120001,Duy An,Bui,Male,01/01/2004,374728,123456789
2,22120002,Quang An,Do,Male,02/01/2004,205885,123456789
3,22120003,Nguyen Thien An,Le,Female,03/01/2004,611382,123456789
4,22120004,Thinh An,Le,Male,04/01/2004,508038,123456789
5,22120006,Phan Truong An,Nguyen,Male,05/01/2004,516906,123456789
6,22120007,Truong An,Nguyen,Male,06/01/2004,517764,123456789
7,22120008,Thien An,Pham ,Female,07/01/2004,603478,123456789
8,22120009,Vinh An,Truong,Male,08/01/2004,396893,123456789
9,22120010,Tuan Anh,Hoang,Male,09/01/2004,110928,123456789
10,22120011,Tuan Anh,Le,Male,10/01/2004,304581,123456789
11,22120013,Duc Anh,Nguyen,Male,11/01/2004,342808,123456789
12,22120014,Hoang Anh,Nguyen ,Male,12/01/2004,795094,123456789
13,22120015,Tan Duy Anh,Nguyen,Male,13/01/2004,571448,123456789
14,22120016,Hung Anh,Tran,Male,14/01/2004,450712,123456789
15,22120017,Tien Anh,Truong,Male,15/01/2004,925406,123456789
16,22120018,Duy Bac,Vu,Male,16/01/2004,257813,123456789
17,22120019,Huu Bang,Ban,Male,17/01/2004,660978,123456789
18,22120020,Gia Bao,Cao,Male,18/01/2004,441456,123456789
19,22120021,Thai Bao,Huynh,Male,19/01/2004,451303,123456789
20,22120022,Bao,Le,Male,20/01/04,820828,123456789
21,22120023,Nguyen Gia Bao,Le,Male,21/01/2004,256167,123456789
22,22120024,Hoang Bao,Nguyen,Male,22/01/2004,372571,123456789
23,22120026,Minh Gia Bao,Phan,Male,23/01/2004,834105,123456789
24,22120027,Bao,Thai,Male,24/01/2004,166723,123456789
25,22120028,Duong Bao,Truong,Male,25/01/2004,689203,123456789
26,22120029,Huu Ben,Nguyen,Male,26/01/2004,908766,123456789
27,22120030,Viet Binh,Bui,Male,27/01/2004,142761,123456789
28,22120031,Huu Binh,Nguyen,Male,28/01/2004,928800,123456789
29,22120032,Thanh Binh,Tran,Male,29/01/2004,641265,123456789
30,22120033,Cong Chau,Phan,Male,30/01/2004,742919,123456789
31,22120034,Thi Kim Chi,Luong,Female,31/01/2004,916188,123456789
32,22120035,Thien Chi,Duong,Male,01/02/2004,677946,123456789
33,22120036,Minh Chien,Dao,Male,02/02/2004,436305,123456789
34,22120037,Van Chien,Nguyen,Male,03/02/2004,927157,123456789
35,22120040,Viet Cong,Truong,Male,04/02/2004,601596,123456789
36,22120041,Quoc Cuom,Do ,Male,05/02/2004,819394,123456789
37,22120042,Ngoc Cuong,Do,Male,06/02/2004,203412,123456789
38,22120043,Minh Cuong,Doan,Male,07/02/2004,525762,123456789
39,22120046,Ngoc Dang,Nguyen,Male,08/02/2004,620157,123456789
40,22120047,Xuan Dang,Tran,Male,09/02/2004,982207,123456789
41,22120048,Chi Danh,Nguyen,Male,10/02/2004,690869,123456789
42,22120050,Manh Dao,Ho,Male,11/02/2004,505857,123456789
43,22120051,Long Dao,Phan,Male,12/02/2004,839073,123456789
44,22120052,Ngoc Quoc Dat,Dang,Male,13/02/2004,133716,123456789
45,22120053,Thanh Dat,Le,Male,14/02/2004,405892,123456789
46,22120054,Van Thanh Dat,Le ,Male,15/02/2004,483505,123456789
47,22120056,Thanh Dat,Nguy ,Male,16/02/2004,800946,123456789
48,22120057,Tan Dat,Nguyen,Male,17/02/2004,842037,123456789
49,22120058,Thanh Dat,Nguyen,Male,18/02/2004,633298,123456789
50,22120059,Minh Dat,Tran,Male,19/02/2004,568663,123456789
51,22120061,The Tuan Dat,Vu,Male,20/02/2004,672888,123456789
52,22120062,Dang Dien,Nguyen,Male,21/02/2004,675981,123456789
53,22120063,Phuong Dong,Ngo,Male,22/02/2004,704007,123456789
54,22120064,Tan Dong,Nguyen ,Male,23/02/2004,484439,123456789
55,22120065,Dai Dong,Tran,Male,24/02/2004,597891,123456789
56,22120066,Anh Duc,Bui,Male,25/02/2004,257933,123456789
57,22120067,Hong Anh Duc,Lam,Male,26/02/2004,232165,123456789
58,22120069,Duy Duc,Nguyen ,Male,27/02/2004,913039,123456789
59,22120070,Thanh Duc,Nguyen,Male,28/02/2004,212623,123456789
60,22120071,Ba Duc,Phan,Male,29/02/2004,254334,123456789
61,22120072,Anh Dung,Nguyen ,Male,01/03/2004,905434,123456789
62,22120073,Ngoc Duong,Ly,Male,02/03/2004,667748,123456789
63,22120074,Nhat Duy,Do,Male,03/03/2004,211022,123456789
64,22120075,Anh Duy,Ho,Male,04/03/2004,737004,123456789
65,22120076,Khanh Duy,Ho,Male,05/03/2004,425813,123456789
66,22120078,Ba Duy,Nguyen,Male,06/03/2004,742609,123456789
67,22120080,Minh Duy,Nguyen,Male,07/03/2004,425293,123456789
68,22120081,Thanh Duy,Pham,Male,08/03/2004,793214,123456789
69,22120083,Tran Gia,Nguyen ,Male,09/03/2004,196182,123456789
70,22120084,Hoang Giang,Pham,Male,10/03/2004,529342,123456789
71,22120086,Cong Giap,Nguyen,Male,11/03/2004,525095,123456789
72,22120088,Ho Phuong Ha,Van ,Female,12/03/2004,575428,123456789
73,22120089,Xuan Hai,Do,Male,13/03/2004,565653,123456789
